Time Stamp,Time Zone,Fuel Category,Gen MW
07/12/2024 02:40:00,EDT,Dual Fuel,4682.0
07/12/2024 02:40:00,EDT,Natural Gas,4503.0
07/12/2024 02:40:00,EDT,Nuclear,3248.0
07/12/2024 02:40:00,EDT,Other Fossil Fuels,8.0
07/12/2024 02:40:00,EDT,Other Renewables,241.0
07/12/2024 02:40:00,EDT,Wind,8.0
07/12/2024 02:40:00,EDT,Hydro,2540.0
07/12/2024 02:45:00,EDT,Dual Fuel,4669.0
07/12/2024 02:45:00,EDT,Natural Gas,4494.0
07/12/2024 02:45:00,EDT,Nuclear,3248.0
07/12/2024 02:45:00,EDT,Other Fossil Fuels,8.0
07/12/2024 02:45:00,EDT,Other Renewables,240.0
07/12/2024 02:45:00,EDT,Wind,21.0
07/12/2024 02:45:00,EDT,Hydro,2529.0
07/12/2024 02:50:00,EDT,Dual Fuel,4623.0
07/12/2024 02:50:00,EDT,Natural Gas,4493.0
07/12/2024 02:50:00,EDT,Nuclear,3248.0
07/12/2024 02:50:00,EDT,Other Fossil Fuels,8.0
07/12/2024 02:50:00,EDT,Other Renewables,239.0
07/12/2024 02:50:00,EDT,Wind,86.0
07/12/2024 02:50:00,EDT,Hydro,2523.0
07/12/2024 02:55:00,EDT,Dual Fuel,4590.0
07/12/2024 02:55:00,EDT,Natural Gas,4488.0
07/12/2024 02:55:00,EDT,Nuclear,3249.0
07/12/2024 02:55:00,EDT,Other Fossil Fuels,8.0
07/12/2024 02:55:00,EDT,Other Renewables,242.0
07/12/2024 02:55:00,EDT,Wind,88.0
07/12/2024 02:55:00,EDT,Hydro,2505.0
07/12/2024 03:00:00,EDT,Dual Fuel,4515.0
07/12/2024 03:00:00,EDT,Natural Gas,4464.0
07/12/2024 03:00:00,EDT,Nuclear,3248.0
07/12/2024 03:00:00,EDT,Other Fossil Fuels,8.0
07/12/2024 03:00:00,EDT,Other Renewables,247.0
07/12/2024 03:00:00,EDT,Wind,89.0
07/12/2024 03:00:00,EDT,Hydro,2515.0
07/12/2024 03:05:00,EDT,Dual Fuel,4534.0
07/12/2024 03:05:00,EDT,Natural Gas,4455.0
07/12/2024 03:05:00,EDT,Nuclear,3248.0
07/12/2024 03:05:00,EDT,Other Fossil Fuels,8.0
07/12/2024 03:05:00,EDT,Other Renewables,247.0
07/12/2024 03:05:00,EDT,Wind,86.0
07/12/2024 03:05:00,EDT,Hydro,2585.0
07/12/2024 03:10:00,EDT,Dual Fuel,4621.0
07/12/2024 03:10:00,EDT,Natural Gas,4463.0
07/12/2024 03:10:00,EDT,Nuclear,3247.0
07/12/2024 03:10:00,EDT,Other Fossil Fuels,8.0
07/12/2024 03:10:00,EDT,Other Renewables,241.0
07/12/2024 03:10:00,EDT,Wind,72.0
07/12/2024 03:10:00,EDT,Hydro,2583.0
07/12/2024 03:15:00,EDT,Dual Fuel,4644.0
07/12/2024 03:15:00,EDT,Natural Gas,4474.0
07/12/2024 03:15:00,EDT,Nuclear,3248.0
07/12/2024 03:15:00,EDT,Other Fossil Fuels,8.0
07/12/2024 03:15:00,EDT,Other Renewables,241.0
07/12/2024 03:15:00,EDT,Wind,68.0
07/12/2024 03:15:00,EDT,Hydro,2574.0
07/12/2024 03:20:00,EDT,Dual Fuel,4616.0
07/12/2024 03:20:00,EDT,Natural Gas,4472.0
07/12/2024 03:20:00,EDT,Nuclear,3248.0
