"Time Stamp","Time Zone","Name","PTID","Load"
"07/12/2024 00:50:00","EDT","WEST",61752,1755.5742
"07/12/2024 00:55:00","EDT","CAPITL",61757,1535.4844
"07/12/2024 00:55:00","EDT","CENTRL",61754,1714.4727
"07/12/2024 00:55:00","EDT","DUNWOD",61760,814.6652
"07/12/2024 00:55:00","EDT","GENESE",61753,1104.744
"07/12/2024 00:55:00","EDT","HUD VL",61758,1270.0215
"07/12/2024 00:55:00","EDT","LONGIL",61762,2802.379
"07/12/2024 00:55:00","EDT","MHK VL",61756,824.1779
"07/12/2024 00:55:00","EDT","MILLWD",61759,344.6523
"07/12/2024 00:55:00","EDT","N.Y.C.",61761,7025.7344
"07/12/2024 00:55:00","EDT","NORTH",61755,662.5796
"07/12/2024 00:55:00","EDT","WEST",61752,1771.521
"07/12/2024 01:00:00","EDT","CAPITL",61757,1548.7961
"07/12/2024 01:00:00","EDT","CENTRL",61754,1709.5933
"07/12/2024 01:00:00","EDT","DUNWOD",61760,833.7884
"07/12/2024 01:00:00","EDT","GENESE",61753,1097.8843
"07/12/2024 01:00:00","EDT","HUD VL",61758,1255.8746
"07/12/2024 01:00:00","EDT","LONGIL",61762,2789.651
"07/12/2024 01:00:00","EDT","MHK VL",61756,823.2902
"07/12/2024 01:00:00","EDT","MILLWD",61759,352.2177
"07/12/2024 01:00:00","EDT","N.Y.C.",61761,6966.583
"07/12/2024 01:00:00","EDT","NORTH",61755,655.1223
"07/12/2024 01:00:00","EDT","WEST",61752,1750.4998
"07/12/2024 01:05:00","EDT","CAPITL",61757,1533.4634
"07/12/2024 01:05:00","EDT","CENTRL",61754,1694.1162
"07/12/2024 01:05:00","EDT","DUNWOD",61760,826.6192
"07/12/2024 01:05:00","EDT","GENESE",61753,1086.7087
"07/12/2024 01:05:00","EDT","HUD VL",61758,1256.6097
"07/12/2024 01:05:00","EDT","LONGIL",61762,2785.934
"07/12/2024 01:05:00","EDT","MHK VL",61756,811.0417
"07/12/2024 01:05:00","EDT","MILLWD",61759,323.9116
"07/12/2024 01:05:00","EDT","N.Y.C.",61761,6954.1973
"07/12/2024 01:05:00","EDT","NORTH",61755,653.7386
"07/12/2024 01:05:00","EDT","WEST",61752,1758.1901
"07/12/2024 01:10:00","EDT","CAPITL",61757,1525.31
"07/12/2024 01:10:00","EDT","CENTRL",61754,1689.7703
"07/12/2024 01:10:00","EDT","DUNWOD",61760,826.7093
"07/12/2024 01:10:00","EDT","GENESE",61753,1091.8296
"07/12/2024 01:10:00","EDT","HUD VL",61758,1247.4374
"07/12/2024 01:10:00","EDT","LONGIL",61762,2762.9226
"07/12/2024 01:10:00","EDT","MHK VL",61756,808.4729
"07/12/2024 01:10:00","EDT","MILLWD",61759,342.8669
"07/12/2024 01:10:00","EDT","N.Y.C.",61761,6929.9463
"07/12/2024 01:10:00","EDT","NORTH",61755,656.3283
"07/12/2024 01:10:00","EDT","WEST",61752,1757.479
"07/12/2024 01:15:00","EDT","CAPITL",61757,1518.3372
"07/12/2024 01:15:00","EDT","CENTRL",61754,1702.6277
"07/12/2024 01:15:00","EDT","DUNWOD",61760,826.1722
"07/12/2024 01:15:00","EDT","GENESE",61753,1083.0112
"07/12/2024 01:15:00","EDT","HUD VL",61758,1236.8163
"07/12/2024 01:15:00","EDT","LONGIL",61762,2743.7407
"07/12/2024 01:15:00","EDT","MHK VL",61756,823.6793
"07/12/2024 01:15:00","EDT","MILLWD",61759,340.6157
