l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km,not_accurate
321,35799514,613151166,230000,3,line,60,,,56.0,0.16,0.64,5.75,0.65,
322,71817088,30620967,500000,3,line,60,,,27913.0,,,,,
323,88776835,386364447,500000,3,line,60,Path 26,Southern California Edison,23225.0,,,,,
324,88776835,30567721,500000,3,line,60,-Path 26,Southern California Edison,28264.0,,,,,
325,88776835,386364446,500000,3,line,60,,,41062.0,,,,,
326,30733962,30620967,500000,3,line,60,,,10788.0,,,,,
327,30733962,86369466,500000,3,line,60,,,24964.0,,,,,
328,77452171,77339440,500000,6,line,60,,,36986.0,,,,,Yes
329,77452171,86369466,500000,3,line,60,,,48283.0,,,,,
330,93128718,30755899,500000,3,line,60,Path 66,Pacific Gas and Electric,75892.0,,,,,
331,93128718,93984381,500000,3,line,60,Path 66,Pacific Gas and Electric-PacifiCorp,74551.0,,,,,
332,23988495,93251033,500000,3,line,60,Path 15,Pacific Gas and Electric,79994.0,,,,,
333,23988495,24049455,500000,6,line,60,-Path 15,Western Area Power Administration,102756.0,,,,,Yes
334,23988495,23837624,500000,3,line,60,-Path 15,Pacific Gas and Electric,93171.0,,,,,
335,23988495,643024351,500000,3,line,60,Path 15 Connector,Pacific Gas and Electric,2818.0,,,,,
336,64161681,61601149,500000,3,line,60,,Southern California Edison,64991.0,,,,,
337,64161681,77339440,500000,6,line,60,,Southern California Edison,31534.0,,,,,Yes
338,52183964,407016872,500000,3,line,60,,,84058.0,,,,,
339,52183964,105185725,500000,3,line,60,,,84155.0,,,,,
340,52183964,90966380,500000,3,line,60,,,45755.0,,,,,
341,386364446,386364447,500000,3,line,60,,,25967.0,,,,,
342,386364447,24333232,500000,3,line,60,Path 26-Path 26 Midway-Whirlwind,Southern California Edison-Pacific Gas & Electric,115586.0,,,,,
343,386364447,30567721,500000,3,line,60,,,58721.0,,,,,
